"","ID","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"115",99017,"rotterdam",0.958400055846518,2,73,"bachelor",1,-0.166666666666667,0.7,1,1,0.5,0.5,0.5,"Partij voor de Dieren (PvdD)","Partij voor de Dieren (PvdD)","Partij voor de Dieren","Zeker wel","D66","D66","Partij voor de Dieren (PvdD)","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","Partij voor de Dieren (PvdD)"
"116",11033,"almere",0.83621210660842,1,78,"bachelor",2,0.166666666666667,0.7,0.5,1,0.5,0.5,1,"Leefbaar Almere","lokaal","D66","Zeker wel","Leefbaar Almere","lokaal","Leefbaar Almere","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"117",77001,"langedijk",0.743045781576525,1,45,"mavo",6,0,0,0,0,0,0,0,"Weet ik niet meer","Weet ik niet meer","SP","Weet niet","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"118",77002,"langedijk",2.21250130357724,2,41,"mavo",6,-1,-0.2,-0.5,-0.5,0.5,0.5,-1,"Weet ik niet meer","Weet ik niet meer","SP","Weet niet","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"119",88005,"amsterdam",1.04460325938323,1,26,"vwo",3,0,0.4,0.5,0.5,0.5,0.5,0,"Weet ik niet meer","Weet ik niet meer","PVV","Weet niet","Ik heb niet gestemd","Ik heb niet gestemd",NA,NA,NA,NA,NA,NA
"120",22029,"enschede",0.833653609499695,2,68,"mbo",1,-0.333333333333333,0.7,0.5,0.5,1,1,0.5,"PvdA","PvdA","CDA","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer","Burgerbelangen Enschede (BBE)","Circa een maand voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"121",11034,"almere",0.879361846186308,1,64,"lbo",2,-0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,"PvdA","PvdA","50PLUS","Zeker wel","Weet ik niet meer","Weet ik niet meer","Ik heb niet gestemd",NA,NA,"Ik ben het helemaal vergeten/ had geen tijd of gelegenheid","Ik heb niet gestemd","Ik heb niet gestemd"
"122",11035,"almere",0.940301805881723,1,32,"mavo",4,0.5,0.8,1,1,1,0.5,0.5,"VVD","VVD","VVD","Zeker wel","VVD","VVD","VVD","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","VVD"
"123",22030,"enschede",0.793392238324074,2,47,"master",3,0.666666666666667,0.7,0.5,0.5,1,0.5,1,"ChristenUnie","ChristenUnie","ChristenUnie","Zeker wel","ChristenUnie","ChristenUnie","ChristenUnie","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","ChristenUnie"
"124",22031,"enschede",1.11056849418776,2,19,"master",3,0,-1,-1,-1,-1,-1,-1,"Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ik heb niet gestemd","Zeker niet","Ik heb niet gestemd","Ik heb niet gestemd","blanco / ongeldig gestemd","Circa een week voor de verkiezingen","Ik was er niet zeker van, maar ben uiteindelijk toch gaan stemmen",NA,"Ik heb tegen gestemd","blanco / ongeldig gestemd"
